Season,Team A,Team B,Location,Game A,Game B,Home A,Home B,RatingA,RatingA,Curr_WinLoss
2012,Sydney,St Kilda,SCG,16,16,1,0,1661.445654,1542.562088,W
2012,North Melbourne,Richmond,MCG,16,16,0,0,1537.32991,1478.509649,W
2012,Richmond,North Melbourne,MCG,16,16,0,0,1478.509649,1537.32991,L
2012,Fremantle,Greater Western Sydney,Patersons Stadium,16,16,1,0,1521.087523,1291.810324,W
2012,Greater Western Sydney,Fremantle,Patersons Stadium,16,16,0,1,1291.810324,1521.087523,L
2012,Essendon,Hawthorn,Etihad Stadium,17,17,0,0,1557.01433,1643.939739,L
2012,Hawthorn,Essendon,Etihad Stadium,17,17,0,0,1643.939739,1557.01433,W
2012,Adelaide,Geelong,Simonds Stadium,17,17,0,1,1664.561417,1579.832663,L
2012,Geelong,Adelaide,Simonds Stadium,17,17,1,0,1579.832663,1664.561417,W
2012,Melbourne,North Melbourne,Etihad Stadium,17,17,0,0,1307.208046,1559.649329,L
2012,North Melbourne,Melbourne,Etihad Stadium,17,17,0,0,1559.649329,1307.208046,W
2012,Collingwood,Greater Western Sydney,_koda Stadium,17,17,0,1,1629.821929,1284.0001,W
2012,Greater Western Sydney,Collingwood,_koda Stadium,17,17,1,0,1284.0001,1629.821929,L
2012,Gold Coast,Sydney,Metricon Stadium,17,17,1,0,1266.970023,1674.502475,L
2012,Sydney,Gold Coast,Metricon Stadium,17,17,0,1,1674.502475,1266.970023,W
2012,Carlton,Richmond,MCG,17,17,0,0,1495.414484,1456.190229,W
2012,Richmond,Carlton,MCG,17,17,0,0,1456.190229,1495.414484,L
2012,Fremantle,Port Adelaide,AAMI Stadium,17,17,0,1,1528.897747,1400.326455,W
2012,Port Adelaide,Fremantle,AAMI Stadium,17,17,1,0,1400.326455,1528.897747,L
2012,St Kilda,Western Bulldogs,Etihad Stadium,17,17,0,0,1529.505268,1375.804555,W
